﻿#,"REDCap MLM"
#,"v16.1.6"
#,"2026-04-14 09:42:24"
#,"How to use this file: Any information above the column title row is purely informational and will be ignored during import. The column title row must remain intact, i.e. the row 'section,type,name,index,kind,text' (the delimiter can be either comma, as shown, or semicolon or tab) and be the first non-empty line that is not staring with # (denoting comments). The essential lines are those with 'translation' or 'value' in the 'kind' column. In these lines, the translation (or value) in the 'text' column can be edited. All other lines (except the 'hash' kind. see below) are ignored when the file is imported. Do not change the contents of the 'section', 'type', 'name', 'index', and 'kind' columns at all. Furthermore, subsets of this file can be created and used at will, as long as the rules layed out above are observed. The 'hash'-kind rows are not essential, but assist in tracking if a default value has changed since the file was created, and thus a translation may be out of date. During an import operation, a best-effort approach is taken. Any items that cannot be matched during import will be silently ignored. Thus, a cross-project import of field translations would only work for fields of the same name."
#,
section,type,name,index,kind,text
lang,info,key,,value,"fr"
lang,info,display,,value,"French"
lang,info,rtl,,value,0
lang,info,sort,,value,"2"
fieldTranslations,label,cancerprog_collectdate,,default,"Collection date for cancer prognosis and treatment information:"
fieldTranslations,label,cancerprog_collectdate,,hash,"4f3202c5d9"
fieldTranslations,label,cancerprog_collectdate,,translation,"Date de collecte des informations sur le pronostic et le traitement du cancer :"
fieldTranslations,note,cancerprog_collectdate,,default,"DD-MM-YYYY"
fieldTranslations,note,cancerprog_collectdate,,hash,"d7e5fe50fe"
fieldTranslations,note,cancerprog_collectdate,,translation,"JJ-MM-AAAA"
fieldTranslations,header,cancer_diag_date,,default,"<p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>CANCER PROGNOSIS</strong></p>"
fieldTranslations,header,cancer_diag_date,,hash,"f1bc43b725"
fieldTranslations,header,cancer_diag_date,,translation,"<p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>PRONOSTIC DU CANCER</strong></p>"
fieldTranslations,label,cancer_diag_date,,default,"Date of cancer diagnosis:
"
fieldTranslations,label,cancer_diag_date,,hash,"7d11b26915"
fieldTranslations,label,cancer_diag_date,,translation,"Date du diagnostic du cancer :"
fieldTranslations,note,cancer_diag_date,,default,"DD-MM-YYYY"
fieldTranslations,note,cancer_diag_date,,hash,"d7e5fe50fe"
fieldTranslations,note,cancer_diag_date,,translation,"JJ-MM-AAAA"
fieldTranslations,label,age_at_cancer_diagnosis,,default,"Age at cancer diagnosis:
"
fieldTranslations,label,age_at_cancer_diagnosis,,hash,"a46f403c81"
fieldTranslations,label,age_at_cancer_diagnosis,,translation,"Âge au moment du diagnostic du cancer :"
fieldTranslations,note,age_at_cancer_diagnosis,,default,"Provide age in years."
fieldTranslations,note,age_at_cancer_diagnosis,,hash,"b3899d4603"
fieldTranslations,note,age_at_cancer_diagnosis,,translation,"Indiquez l'âge en années."
fieldTranslations,label,cancer_site,,default,"Specify the cancer site:
"
fieldTranslations,label,cancer_site,,hash,"291e007954"
fieldTranslations,label,cancer_site,,translation,"Précisez le site du cancer :"
fieldTranslations,enum,cancer_site,1,default,"Bone"
fieldTranslations,enum,cancer_site,1,hash,"bcf605d6bb"
fieldTranslations,enum,cancer_site,1,translation,"Os"
fieldTranslations,enum,cancer_site,2,default,"Brain"
fieldTranslations,enum,cancer_site,2,hash,"97fb724268"
fieldTranslations,enum,cancer_site,2,translation,"Cerveau"
fieldTranslations,enum,cancer_site,3,default,"Breast"
fieldTranslations,enum,cancer_site,3,hash,"2504694e3c"
fieldTranslations,enum,cancer_site,3,translation,"Sein"
fieldTranslations,enum,cancer_site,4,default,"Cervix"
fieldTranslations,enum,cancer_site,4,hash,"76ca5f2919"
fieldTranslations,enum,cancer_site,4,translation,"Col de l'utérus"
fieldTranslations,enum,cancer_site,5,default,"Colon/Rectum"
fieldTranslations,enum,cancer_site,5,hash,"63918d8194"
fieldTranslations,enum,cancer_site,5,translation,"Côlon/Rectum"
fieldTranslations,enum,cancer_site,6,default,"Endometrium"
fieldTranslations,enum,cancer_site,6,hash,"d79a58dee2"
fieldTranslations,enum,cancer_site,6,translation,"Endomètre"
fieldTranslations,enum,cancer_site,7,default,"Ovary"
fieldTranslations,enum,cancer_site,7,hash,"e16163ab78"
fieldTranslations,enum,cancer_site,7,translation,"Ovaire"
fieldTranslations,enum,cancer_site,8,default,"Lung"
fieldTranslations,enum,cancer_site,8,hash,"a5de086f64"
fieldTranslations,enum,cancer_site,8,translation,"Poumon"
fieldTranslations,enum,cancer_site,9,default,"Lymphatic System"
fieldTranslations,enum,cancer_site,9,hash,"d598be81a9"
fieldTranslations,enum,cancer_site,9,translation,"Système lymphatique"
fieldTranslations,enum,cancer_site,10,default,"Ovary"
fieldTranslations,enum,cancer_site,10,hash,"e16163ab78"
fieldTranslations,enum,cancer_site,10,translation,"Ovaire"
fieldTranslations,enum,cancer_site,11,default,"Pancreas"
fieldTranslations,enum,cancer_site,11,hash,"fa21863f12"
fieldTranslations,enum,cancer_site,11,translation,"Pancréas"
fieldTranslations,enum,cancer_site,12,default,"Prostate"
fieldTranslations,enum,cancer_site,12,hash,"816f35339c"
fieldTranslations,enum,cancer_site,12,translation,"Prostate"
fieldTranslations,enum,cancer_site,13,default,"Skin"
fieldTranslations,enum,cancer_site,13,hash,"8f57bd6132"
fieldTranslations,enum,cancer_site,13,translation,"Peau"
fieldTranslations,enum,cancer_site,14,default,"Thyroid"
fieldTranslations,enum,cancer_site,14,hash,"6fba67c199"
fieldTranslations,enum,cancer_site,14,translation,"Thyroïde"
fieldTranslations,enum,cancer_site,777,default,"Other"
fieldTranslations,enum,cancer_site,777,hash,"6e6a6f2086"
fieldTranslations,enum,cancer_site,777,translation,"Autre"
fieldTranslations,label,cancer_site_other,,default,"(If Other) Specify cancer site:
"
fieldTranslations,label,cancer_site_other,,hash,"da0a777dfe"
fieldTranslations,label,cancer_site_other,,translation,"(Si autre) Précisez le site du cancer :"
fieldTranslations,label,cancer_metastasis,,default,"Did this cancer metastasize (spread to other body sites)?
"
fieldTranslations,label,cancer_metastasis,,hash,"75e0bd6b10"
fieldTranslations,label,cancer_metastasis,,translation,"Ce cancer a-t-il métastasé (s'est-il propagé à d'autres parties du corps) ?"
fieldTranslations,enum,cancer_metastasis,1,default,"Yes"
fieldTranslations,enum,cancer_metastasis,1,hash,"5397e0583f"
fieldTranslations,enum,cancer_metastasis,1,translation,"Oui"
fieldTranslations,enum,cancer_metastasis,0,default,"No"
fieldTranslations,enum,cancer_metastasis,0,hash,"816c52fd2b"
fieldTranslations,enum,cancer_metastasis,0,translation,"Non"
fieldTranslations,enum,cancer_metastasis,-992,default,"Don't know"
fieldTranslations,enum,cancer_metastasis,-992,hash,"3bb9b8e85c"
fieldTranslations,enum,cancer_metastasis,-992,translation,"Je ne sais pas"
fieldTranslations,label,cancer_metastasis_site,,default,"(If Yes) Specify metastasis site/s:        
"
fieldTranslations,label,cancer_metastasis_site,,hash,"307d2beeea"
fieldTranslations,label,cancer_metastasis_site,,translation,"(Si oui) Précisez le(s) site(s) de métastase :"
fieldTranslations,label,cancer_recur,,default,"Did this cancer recur?"
fieldTranslations,label,cancer_recur,,hash,"66531acb93"
fieldTranslations,label,cancer_recur,,translation,"Ce cancer, a-t-il une récidive ?"
fieldTranslations,label,cancer_recur_date,,default,"(If Yes) Specify the date of recurrence:
"
fieldTranslations,label,cancer_recur_date,,hash,"2627f000af"
fieldTranslations,label,cancer_recur_date,,translation,"(Si oui) Précisez la date de récidive :"
fieldTranslations,note,cancer_recur_date,,default,"DD-MM-YYYY"
fieldTranslations,note,cancer_recur_date,,hash,"d7e5fe50fe"
fieldTranslations,note,cancer_recur_date,,translation,"JJ-MM-AAAA"
fieldTranslations,label,cancer_stage,,default,"Specify highest cancer stage:"
fieldTranslations,label,cancer_stage,,hash,"effbcfeeb6"
